Date,State,District,Enrolments,Updates,Child_Enrolments,Is_Anomaly,Forecast
2025-01-01,Uttar Pradesh,Lucknow,544,1289,147,No,598
2025-01-02,Uttar Pradesh,Lucknow,218,485,69,No,239
2025-01-03,Uttar Pradesh,Lucknow,509,777,149,No,559
2025-01-04,Uttar Pradesh,Lucknow,52,119,15,No,57
2025-01-05,Uttar Pradesh,Lucknow,76,179,13,No,83
2025-01-06,Uttar Pradesh,Lucknow,434,605,105,No,477
2025-01-07,Uttar Pradesh,Lucknow,406,893,72,No,446
2025-01-08,Uttar Pradesh,Lucknow,159,235,46,No,174
2025-01-09,Uttar Pradesh,Lucknow,235,581,46,No,258
2025-01-10,Uttar Pradesh,Lucknow,222,538,42,No,244
2025-01-11,Uttar Pradesh,Lucknow,55,79,17,No,60
2025-01-12,Uttar Pradesh,Lucknow,22,36,3,No,24
2025-01-13,Uttar Pradesh,Lucknow,151,297,30,No,166
2025-01-14,Uttar Pradesh,Lucknow,307,497,49,No,337
2025-01-15,Uttar Pradesh,Lucknow,565,1005,166,No,621
2025-01-16,Uttar Pradesh,Lucknow,214,318,43,No,235
2025-01-17,Uttar Pradesh,Lucknow,241,371,59,No,265
2025-01-18,Uttar Pradesh,Lucknow,84,169,26,No,92
2025-01-19,Uttar Pradesh,Lucknow,66,130,20,No,72
2025-01-20,Uttar Pradesh,Lucknow,372,709,117,No,409
2025-01-21,Uttar Pradesh,Lucknow,439,793,99,No,482
2025-01-22,Uttar Pradesh,Lucknow,238,332,63,No,261
2025-01-23,Uttar Pradesh,Lucknow,558,1111,95,No,613
2025-01-24,Uttar Pradesh,Lucknow,169,352,48,No,185
2025-01-25,Uttar Pradesh,Lucknow,81,154,27,No,89
2025-01-26,Uttar Pradesh,Lucknow,48,103,8,No,52
2025-01-27,Uttar Pradesh,Lucknow,433,821,99,No,476
2025-01-28,Uttar Pradesh,Lucknow,368,848,88,No,404
2025-01-29,Uttar Pradesh,Lucknow,417,736,90,No,458
2025-01-30,Uttar Pradesh,Lucknow,496,913,152,No,545
2025-01-31,Uttar Pradesh,Lucknow,257,479,72,No,282
2025-02-01,Uttar Pradesh,Lucknow,88,144,21,No,96
2025-02-02,Uttar Pradesh,Lucknow,43,65,9,No,47
2025-02-03,Uttar Pradesh,Lucknow,379,850,63,No,416
2025-02-04,Uttar Pradesh,Lucknow,219,390,64,No,240
