Date,State,District,Enrolments,Updates,Child_Enrolments,Is_Anomaly,Forecast
2025-01-01,Uttar Pradesh,Lucknow,385,943,90,No,423
2025-01-02,Uttar Pradesh,Lucknow,486,738,81,No,534
2025-01-03,Uttar Pradesh,Lucknow,595,1439,100,No,654
2025-01-04,Uttar Pradesh,Lucknow,69,168,11,No,75
2025-01-05,Uttar Pradesh,Lucknow,26,47,4,No,28
2025-01-06,Uttar Pradesh,Lucknow,555,1288,90,No,610
2025-01-07,Uttar Pradesh,Lucknow,195,378,59,No,214
2025-01-08,Uttar Pradesh,Lucknow,242,563,62,No,266
2025-01-09,Uttar Pradesh,Lucknow,184,312,52,No,202
2025-01-10,Uttar Pradesh,Lucknow,485,704,150,No,533
2025-01-11,Uttar Pradesh,Lucknow,57,82,10,No,62
2025-01-12,Uttar Pradesh,Lucknow,49,106,9,No,53
2025-01-13,Uttar Pradesh,Lucknow,330,769,101,No,363
2025-01-14,Uttar Pradesh,Lucknow,227,564,44,No,249
2025-01-15,Uttar Pradesh,Lucknow,245,458,38,No,269
2025-01-16,Uttar Pradesh,Lucknow,267,518,73,No,293
2025-01-17,Uttar Pradesh,Lucknow,177,297,36,No,194
2025-01-18,Uttar Pradesh,Lucknow,22,27,5,No,24
2025-01-19,Uttar Pradesh,Lucknow,71,100,16,No,78
2025-01-20,Uttar Pradesh,Lucknow,549,1325,161,No,603
2025-01-21,Uttar Pradesh,Lucknow,505,819,116,No,555
2025-01-22,Uttar Pradesh,Lucknow,400,686,100,No,440
2025-01-23,Uttar Pradesh,Lucknow,336,819,108,No,369
2025-01-24,Uttar Pradesh,Lucknow,388,492,84,No,426
2025-01-25,Uttar Pradesh,Lucknow,87,127,24,No,95
2025-01-26,Uttar Pradesh,Lucknow,81,130,16,No,89
2025-01-27,Uttar Pradesh,Lucknow,354,745,116,No,389
2025-01-28,Uttar Pradesh,Lucknow,365,875,110,No,401
2025-01-29,Uttar Pradesh,Lucknow,156,330,42,No,171
2025-01-30,Uttar Pradesh,Lucknow,198,339,56,No,217
2025-01-31,Uttar Pradesh,Lucknow,320,798,48,No,352
2025-02-01,Uttar Pradesh,Lucknow,79,108,13,No,86
2025-02-02,Uttar Pradesh,Lucknow,72,176,25,No,79
2025-02-03,Uttar Pradesh,Lucknow,464,649,149,No,510
2025-02-04,Uttar Pradesh,Lucknow,496,1220,138,No,545
2025-02-05,Uttar Pradesh,Lucknow,575,697,157,No,632
2025-02-06,Uttar Pradesh,Lucknow,384,689,101,No,422
2025-02-07,Uttar Pradesh,Lucknow,325,612,59,No,357
2025-02-08,Uttar Pradesh,Lucknow,72,152,23,No,79
2025-02-09,Uttar Pradesh,Lucknow,38,71,12,No,41
2025-02-10,Uttar Pradesh,Lucknow,408,620,73,No,448
2025-02-11,Uttar Pradesh,Lucknow,158,261,31,No,173
2025-02-12,Uttar Pradesh,Lucknow,190,431,30,No,209
2025-02-13,Uttar Pradesh,Lucknow,492,1021,75,No,541
2025-02-14,Uttar Pradesh,Lucknow,316,750,77,No,347
2025-02-15,Uttar Pradesh,Lucknow,33,42,8,No,36
2025-02-16,Uttar Pradesh,Lucknow,31,64,4,No,34
