state,district,month,child_enrolments,adult_enrolments,total_enrolments
Andaman And Nicobar Islands,Andamans,2025-01,96.0,923.0,1019.0
Andaman And Nicobar Islands,Andamans,2025-02,15.0,42.0,57.0
Andaman And Nicobar Islands,Andamans,2025-03,21.0,36.0,57.0
Andaman And Nicobar Islands,Andamans,2025-04,10.0,20.0,30.0
Andaman And Nicobar Islands,Andamans,2025-05,9.0,28.0,37.0
Andaman And Nicobar Islands,Andamans,2025-06,9.0,16.0,25.0
Andaman And Nicobar Islands,Andamans,2025-07,4.0,9.0,13.0
Andaman And Nicobar Islands,Andamans,2025-08,6.0,34.0,40.0
Andaman And Nicobar Islands,Andamans,2025-09,19.0,34.0,53.0
Andaman And Nicobar Islands,Andamans,2025-10,15.0,32.0,47.0
Andaman And Nicobar Islands,Andamans,2025-11,9.0,38.0,47.0
Andaman And Nicobar Islands,Andamans,2025-12,18.0,38.0,56.0
Andaman And Nicobar Islands,Nicobars,2025-01,535.0,513.0,1048.0
Andaman And Nicobar Islands,Nicobars,2025-02,28.0,34.0,62.0
Andaman And Nicobar Islands,Nicobars,2025-03,30.0,19.0,49.0
Andaman And Nicobar Islands,Nicobars,2025-04,45.0,13.0,58.0
Andaman And Nicobar Islands,Nicobars,2025-05,30.0,10.0,40.0
Andaman And Nicobar Islands,Nicobars,2025-06,30.0,13.0,43.0
Andaman And Nicobar Islands,Nicobars,2025-07,9.0,5.0,14.0
Andaman And Nicobar Islands,Nicobars,2025-08,27.0,24.0,51.0
Andaman And Nicobar Islands,Nicobars,2025-09,26.0,14.0,40.0
Andaman And Nicobar Islands,Nicobars,2025-10,15.0,20.0,35.0
Andaman And Nicobar Islands,Nicobars,2025-11,27.0,19.0,46.0
Andaman And Nicobar Islands,Nicobars,2025-12,23.0,8.0,31.0
Andaman And Nicobar Islands,North And Middle Andaman,2025-01,2102.0,2074.0,4176.0
Andaman And Nicobar Islands,North And Middle Andaman,2025-02,121.0,40.0,161.0
Andaman And Nicobar Islands,North And Middle Andaman,2025-03,47.0,22.0,69.0
Andaman And Nicobar Islands,North And Middle Andaman,2025-04,54.0,23.0,77.0
Andaman And Nicobar Islands,North And Middle Andaman,2025-05,61.0,20.0,81.0
Andaman And Nicobar Islands,North And Middle Andaman,2025-06,51.0,7.0,58.0
Andaman And Nicobar Islands,North And Middle Andaman,2025-07,27.0,8.0,35.0
Andaman And Nicobar Islands,North And Middle Andaman,2025-08,44.0,22.0,66.0
Andaman And Nicobar Islands,North And Middle Andaman,2025-09,74.0,22.0,96.0
Andaman And Nicobar Islands,North And Middle Andaman,2025-10,87.0,20.0,107.0
Andaman And Nicobar Islands,North And Middle Andaman,2025-11,64.0,32.0,96.0
Andaman And Nicobar Islands,North And Middle Andaman,2025-12,98.0,20.0,118.0
Andaman And Nicobar Islands,South Andaman,2025-01,3734.0,2573.0,6307.0
Andaman And Nicobar Islands,South Andaman,2025-02,185.0,51.0,236.0
Andaman And Nicobar Islands,South Andaman,2025-03,141.0,52.0,193.0
Andaman And Nicobar Islands,South Andaman,2025-04,120.0,52.0,172.0
Andaman And Nicobar Islands,South Andaman,2025-05,147.0,47.0,194.0
Andaman And Nicobar Islands,South Andaman,2025-06,110.0,33.0,143.0
Andaman And Nicobar Islands,South Andaman,2025-07,51.0,18.0,69.0
Andaman And Nicobar Islands,South Andaman,2025-08,143.0,61.0,204.0
Andaman And Nicobar Islands,South Andaman,2025-09,183.0,47.0,230.0
Andaman And Nicobar Islands,South Andaman,2025-10,146.0,52.0,198.0
Andaman And Nicobar Islands,South Andaman,2025-11,147.0,64.0,211.0
Andaman And Nicobar Islands,South Andaman,2025-12,118.0,68.0,186.0
Andhra Pradesh,Adilabad,2025-01,6035.0,20122.0,26157.0
Andhra Pradesh,Adilabad,2025-02,289.0,1012.0,1301.0
Andhra Pradesh,Adilabad,2025-03,227.0,785.0,1012.0
Andhra Pradesh,Adilabad,2025-04,356.0,1071.0,1427.0
Andhra Pradesh,Adilabad,2025-05,148.0,481.0,629.0
Andhra Pradesh,Adilabad,2025-06,222.0,705.0,927.0
Andhra Pradesh,Adilabad,2025-07,98.0,304.0,402.0
Andhra Pradesh,Adilabad,2025-08,290.0,846.0,1136.0
Andhra Pradesh,Adilabad,2025-09,179.0,683.0,862.0
