state,month,forecast,lower,upper,pressure,confidence_flag
Andaman and Nicobar Islands,2026-01-01,3245.17,2378.03,4089.74,High Demand,LOW
Andaman and Nicobar Islands,2026-02-01,211.83,-583.51,1027.3,High Demand,LOW
Andaman and Nicobar Islands,2026-03-01,204.86,-582.54,1041.83,High Demand,LOW
Andhra Pradesh,2026-01-01,39339.19,10338.19,71536.77,High Demand,LOW
Andhra Pradesh,2026-02-01,-28201.76,-56423.4,-135.6,Declining,LOW
Andhra Pradesh,2026-03-01,-27922.89,-58107.35,3000.41,Declining,LOW
Arunachal Pradesh,2026-01-01,818.98,295.72,1378.96,High Demand,LOW
Arunachal Pradesh,2026-02-01,-750.55,-1316.85,-219.68,Declining,LOW
Arunachal Pradesh,2026-03-01,-724.53,-1269.38,-171.61,Declining,LOW
Assam,2026-01-01,13996.15,9332.54,18560.57,High Demand,LOW
Assam,2026-02-01,519.34,-4061.24,5280.33,High Demand,LOW
Assam,2026-03-01,646.56,-4125.24,5172.93,High Demand,LOW
Bihar,2026-01-01,-36192.33,-51168.95,-19761.37,Declining,LOW
Bihar,2026-02-01,-119870.12,-135779.67,-104990.44,Declining,LOW
Bihar,2026-03-01,-119897.25,-135546.92,-103992.52,Declining,LOW
Chandigarh,2026-01-01,18940.29,8842.77,29129.77,High Demand,LOW
Chandigarh,2026-02-01,-728.25,-10967.5,10281.84,Declining,LOW
Chandigarh,2026-03-01,-532.69,-10794.35,9858.25,Declining,LOW
Chhattisgarh,2026-01-01,-10542.37,-22434.65,1280.64,Declining,LOW
Chhattisgarh,2026-02-01,-51238.61,-64079.11,-39585.96,Declining,LOW
Chhattisgarh,2026-03-01,-51242.18,-63772.38,-38957.89,Declining,LOW
Daman and Diu,2026-01-01,6200.08,5650.97,6758.05,High Demand,LOW
Daman and Diu,2026-02-01,455.63,-84.17,1014.92,High Demand,LOW
Daman and Diu,2026-03-01,477.22,-71.99,991.71,High Demand,LOW
Delhi,2026-01-01,34442.26,7448.53,60909.73,High Demand,LOW
Delhi,2026-02-01,-43780.09,-69525.26,-15337.9,Declining,LOW
Delhi,2026-03-01,-43251.43,-68657.58,-14961.55,Declining,LOW
Goa,2026-01-01,22226.32,21744.9,22688.29,High Demand,OK
Goa,2026-02-01,1088.72,642.29,1549.84,High Demand,OK
Goa,2026-03-01,1161.17,708.95,1610.52,High Demand,OK
Gujarat,2026-01-01,-273167.68,-295536.75,-253482.38,Declining,LOW
Gujarat,2026-02-01,-337684.45,-359090.48,-317221.06,Declining,LOW
Gujarat,2026-03-01,-339688.64,-362139.34,-318827.7,Declining,LOW
Haryana,2026-01-01,45266.33,38768.66,52222.34,High Demand,OK
Haryana,2026-02-01,1097.62,-5945.5,7938.61,Declining,OK
Haryana,2026-03-01,1481.92,-5345.13,8569.85,High Demand,OK
Himachal Pradesh,2026-01-01,4669.09,68.4,9815.45,High Demand,LOW
Himachal Pradesh,2026-02-01,-14089.86,-19090.04,-9169.49,Declining,LOW
Himachal Pradesh,2026-03-01,-14075.71,-19016.23,-9145.27,Declining,LOW
Jammu and Kashmir,2026-01-01,-6644.95,-11096.27,-2207.63,Declining,LOW
Jammu and Kashmir,2026-02-01,-29093.51,-33524.55,-24935.44,Declining,LOW
Jammu and Kashmir,2026-03-01,-29191.75,-33681.74,-24715.81,Declining,LOW
Jharkhand,2026-01-01,-25263.39,-38186.18,-12812.27,Declining,LOW
Jharkhand,2026-02-01,-82462.18,-94113.25,-69778.24,Declining,LOW
Jharkhand,2026-03-01,-82899.18,-94805.05,-70520.46,Declining,LOW
Karnataka,2026-01-01,-7277.53,-27527.53,12645.59,Declining,LOW
Karnataka,2026-02-01,-57080.04,-78039.92,-37302.98,Declining,LOW
Karnataka,2026-03-01,-57472.79,-76348.83,-38714.51,Declining,LOW
Kerala,2026-01-01,9024.65,-3372.66,22089.56,High Demand,LOW
Kerala,2026-02-01,-65271.22,-77943.68,-51908.78,Declining,LOW
Kerala,2026-03-01,-65611.02,-77628.9,-53350.63,Declining,LOW
Ladakh,2026-01-01,3070.1,3046.97,3093.0,High Demand,LOW
Ladakh,2026-02-01,155.57,133.21,180.97,High Demand,LOW
Ladakh,2026-03-01,188.23,163.27,211.66,High Demand,LOW
Madhya Pradesh,2026-01-01,60559.42,46165.68,75300.64,High Demand,LOW
Madhya Pradesh,2026-02-01,-11542.42,-25595.63,3190.63,Declining,LOW
Madhya Pradesh,2026-03-01,-11098.65,-25723.54,2919.55,Declining,LOW
Maharashtra,2026-01-01,126368.01,94001.51,157935.23,High Demand,LOW
Maharashtra,2026-02-01,4544.56,-26404.86,35116.37,Declining,LOW
Maharashtra,2026-03-01,4834.98,-24304.26,36514.9,Declining,LOW
Manipur,2026-01-01,-3101.59,-7771.38,1064.63,Declining,LOW
